INLINE PersonalMusicTable,Music
(No one/Not referenced),0x68
Sharena,0x0
Anna,0x0
Norne,0x0
Mia,0x0
Narcian,0x0
Linde,0x0
-,0x0
-,0x0
Camus,0x0
Reinhardt,0x0
-,0x0
-,0x0
-,0x0
-,0x0
Alfonse,0x0
Markyjoe,0x93
-,0x0
-,0x0
-,0x0
-,0x0
Olivia,0x0
-,0x0
-,0x0
-,0x0
Elise,0x0
-,0x0
[Enemy],0x0
Rennac,0x0
Duessel,0x0
Myrrh,0x0
Knoll,0x0
Eliwood,0x1b
Lyn,0x1b
Hector,0x1b
Lowen,0x1b
Bartre,0x1b
Marcus,0x1b
Jaffar,0x1b
Erk,0x1b
Florina?,0x1b
Oswin,0x1b
Wallace,0x1b
Kent,0x1b
Sain,0x1b
Isadora,0x1b
Harken,0x1b
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
Summon (Lyon),0x0
Summon (Unknown),0x0
Summon (Unknown),0x0
Summon (Knoll),0x0
Summon (Ewan),0x0
Lyon (Ch17 Boss),0x0
Morva (Ch20 Boss),0x0
Orson (Ch5x Ally),0x0
Valter (Ch15 Boss),0x0
Selena (Ch10&13 Boss),0x0
Valter (Prologue),0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
Carlyle (Ch14A Boss),0x0
Caellach (Ch15 Boss),0x0
Pablo (Ch13A Boss),0x0
[Enemy],0x0
Gorgon (Ch18 Boss),0x0
Riev (Ch19&20 Boss),0x0
[Enemy],0x0
[Enemy],0x0
Gheb (Ch9B Boss),0x0
Beran (Ch10B Boss),0x0
Cyclops (Ch12B Boss),0x0
Wight (Ch11A Boss),0x0
Deathgoyle (Ch11B Boss),0x0
Entombed,0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Hunter],0x0
[Bandit],0x0
[Bandit],0x0
[Bandit],0x0
O'Neill (Prologue Boss),0x0
Glen (Cutscene),0x0
Zonta (Ch5x Boss),0x0
Vigarde (Ch14B Boss),0x0
Lyon (ChFinal Boss),0x0
Orson (Ch16 Boss),0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Soldier],0x0
[Remnant],0x0
[Cutthroat],0x0
[Remnant],0x0
[Remnant],0x0
[Remnant],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Mercenary],0x0
[Sellsword],0x0
[Remnant],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
[Monster],0x0
Formortiis,0x0
[Enemy],0x0
[Frelian],0x0
[Frelian],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
Fado (Prologue),0x0
[Enemy],0x0
Hayden (Frelia),0x0
Mansel (Rausten),0x0
Klimt (Carcino),0x0
Dara (Caer Pelyn),0x0
Ismaire (Jehanna),0x0
[Pegasus Messenger],0x0
BasicGeneric,0x0
LungeGeneric,0x0
SealDefGeneric,0x0
SealSpdGeneric,0x0
SealStrGeneric,0x0
SealResGeneric,0x0
CounterGeneric,0x0
CountermagicGeneric,0x0
PassGeneric,0x0
SwordbreakerGeneric,0x0
AxebreakerGeneric,0x0
LancebreakerGeneric,0x0
BowbreakerGeneric,0x0
TomebreakerGeneric,0x0
RenewalGeneric,0x0
GambleGeneric,0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[Enemy],0x0
[River Folk (Child F)],0x0
[River Folk (F)],0x0
[River Folk],0x0
[River Folk (F)],0x0
[River Folk (Child)],0xff
[Renais Civilian (Child F)],0xff
[Renais Civilian],0xff
[Renais Civilian (F)],0xff
[Old Civilian],0xff
[Enemy],0xff
